Name,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
Roberto,0.6030152,0.4827034,0.7177994,0.4066509,0.6153936
Andrés,-0.9601071,-0.3642223,-0.3865201,0.4375587,-0.08369439
Silvia,-0.2443115,0.1331392,-0.1129771,0.3500037,0.8037381
Fernando,0.4402425,0.9921142,0.4171776,-0.1781567,-0.6285212
Pilar,0.5916805,0.687887,0.1900046,-0.3823234,0.7221797
Raúl,0.4893905,0.1555095,0.1588796,0.7447995,0.1088092
Laura,0.9075276,0.9670281,0.1966342,0.5697396,0.3721353
Ana,-0.5476667,0.3152577,-0.9476529,0.6748436,-0.1627745
Carlos,-0.3274837,0.1646983,-0.3607745,0.7523928,0.7215406
Carmen,0.9380435,-0.8309641,0.4219903,0.7855102,0.8890049
Patricia,0.05593088,-0.8015678,0.1909194,0.406451,-0.1030118
Miguel,-0.992597,-0.2912122,-0.4736696,-0.2160179,0.9212105
Isabel,0.8988276,0.6719457,0.6748026,-0.7317412,-0.9782975
Javier,0.9987494,-0.5505826,0.5839261,0.5940055,0.6347052
Mónica,0.1862807,-0.5195184,0.4107982,-0.5098462,-0.8001106
Julia,-0.2529184,0.555807,0.2395511,-0.5189727,0.8168544
David,-0.1797781,0.03074374,-0.4256734,0.6799667,-0.9890514
Rocío,-0.7815005,-0.4321586,-0.1375262,0.9369788,-0.5944807
Álvaro,0.9820963,0.9209375,-0.3180052,-0.2692829,0.7452455
José,-0.3174531,0.8373177,0.5574753,-0.3643209,-0.9540839
