Name,Actions,Attention,AnxietyConfidence,BoredomFascination,FrustrationEuphoria,DispiritedEncouraged,TerrorEnchantment,Time
Roberto,-1,64.96419,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,1.077317
Andrés,-1,63.63461,0.07657626,-0.5027654,-0.1228815,-0.6042677,0.7967346,1.077341
Silvia,-1,49.41077,-0.4058535,-0.1309931,0.696518,0.6802101,0.6355743,1.07735
Fernando,-1,54.46581,0.2231168,0.38196,-0.5871169,-0.5012684,-0.9642404,1.077358
Pilar,-1,40.93716,-0.4302842,-0.119569,0.3745977,0.0943903,0.673638,1.077367
Raúl,-1,41.80957,-0.4081907,-0.5305524,0.4356989,0.951391,0.6888175,1.077376
Laura,-1,37.06071,-0.2773891,0.3716471,-0.2223268,0.9201636,0.4978917,1.077384
Ana,-1,66.25625,-0.4323027,0.5406435,-0.5039896,-0.9354802,0.0145153,1.077392
Carlos,-1,42.21433,-0.7589362,0.009405805,-0.5016645,-0.1315641,0.2809404,1.0774
Carmen,-1,66.74387,-0.3679666,0.4406952,0.5467041,-0.6100715,0.8206933,1.077407
Patricia,-1,58.91603,0.9142835,0.3520384,-0.01660381,-0.5189698,0.7470298,1.077422
Miguel,-1,67.44888,0.5526263,-0.5808341,-0.08328441,0.4377222,0.3454506,1.077433
Isabel,-1,57.96602,0.3510906,0.5755614,-0.5054828,0.9026663,-0.7408713,1.077442
Javier,-1,52.40194,-0.9968866,-0.5412276,0.3509479,-0.3779473,-0.8911132,1.077458
Mónica,-1,55.59191,0.02974307,-0.3842451,-0.2891763,0.04419394,-0.9812813,1.077466
Julia,-1,50.03436,-0.08560567,-0.5583622,-0.489116,-0.6039466,-0.08947726,1.077474
David,-1,68.6221,-0.2011245,0.4563898,-0.5027279,-0.2118789,-0.3714859,1.077482
Rocío,-1,39.87372,-0.03195343,0.5958921,0.0007160171,-0.9068377,0.4166326,1.07749
Álvaro,-1,56.65186,-0.5063774,-0.8915107,-0.339084,-0.7732169,0.1051919,1.077498
José,-1,62.08703,0.4878445,0.1010216,-0.9166376,0.1985892,0.5204076,1.077507
Roberto,5,64.96419,-0.8990989,-0.2466657,0.1798413,-0.04157761,-0.2672743,2.301495
